tokens per iteration will be: 491,520
Initializing a new model from scratch
Initializing a new model from scratch
number of parameters: 120.01M
/users/4/serra082/gpt2mla/train_mla.py:184: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
using fused AdamW: True
step 0: train loss 10.9600, val loss 10.9594
iter 2260: loss 3.6967, time 2972.29ms, mfu 24.32%
iter 2270: loss 3.7670, time 2577.42ms, mfu 24.44%
iter 2280: loss 3.8714, time 2622.97ms, mfu 24.50%
iter 2290: loss 3.8048, time 2758.46ms, mfu 24.43%
iter 2300: loss 3.6307, time 2577.64ms, mfu 24.53%
iter 2310: loss 3.9398, time 2772.49ms, mfu 24.44%
iter 2320: loss 3.6955, time 2634.05ms, mfu 24.49%
iter 2330: loss 3.8656, time 2730.26ms, mfu 24.45%
iter 2340: loss 3.6696, time 2649.80ms, mfu 24.48%
iter 2350: loss 3.7018, time 2649.60ms, mfu 24.51%
iter 2360: loss 3.8342, time 2744.92ms, mfu 24.45%
iter 2370: loss 3.5368, time 2608.04ms, mfu 24.52%
iter 2380: loss 3.8192, time 2582.08ms, mfu 24.61%
iter 2390: loss 3.7123, time 2617.29ms, mfu 24.66%
iter 2400: loss 3.6915, time 2739.28ms, mfu 24.59%
iter 2410: loss 3.7399, time 2580.84ms, mfu 24.67%
iter 2420: loss 3.5470, time 2609.93ms, mfu 24.72%
iter 2430: loss 3.6013, time 2691.11ms, mfu 24.69%
iter 2440: loss 3.3681, time 2710.59ms, mfu 24.64%
iter 2450: loss 3.9375, time 2574.28ms, mfu 24.73%
iter 2460: loss 3.7346, time 2579.12ms, mfu 24.80%
iter 2470: loss 3.4585, time 2590.84ms, mfu 24.85%
iter 2480: loss 3.4876, time 2605.33ms, mfu 24.89%
iter 2490: loss 3.5681, time 2676.21ms, mfu 24.85%
iter 2500: loss 3.7458, time 2579.04ms, mfu 24.91%
iter 2510: loss 3.4792, time 2674.69ms, mfu 24.87%
iter 2520: loss 3.7866, time 2579.73ms, mfu 24.93%
iter 2530: loss 3.8600, time 2583.41ms, mfu 24.98%
iter 2540: loss 3.5907, time 2601.25ms, mfu 25.00%
iter 2550: loss 3.5774, time 2579.11ms, mfu 25.05%
iter 2560: loss 3.6803, time 2778.19ms, mfu 24.91%
iter 2570: loss 3.5924, time 2592.40ms, mfu 24.95%
iter 2580: loss 3.7552, time 2586.35ms, mfu 24.99%
iter 2590: loss 3.7287, time 2666.75ms, mfu 24.95%
iter 2600: loss 3.2442, time 2601.33ms, mfu 24.98%
iter 2610: loss 3.7782, time 2578.50ms, mfu 25.03%
iter 2620: loss 3.7085, time 2647.95ms, mfu 25.00%
iter 2630: loss 3.5604, time 2929.88ms, mfu 24.74%
iter 2640: loss 3.5214, time 2576.53ms, mfu 24.82%
iter 2650: loss 3.7285, time 2638.11ms, mfu 24.82%
iter 2660: loss 3.6506, time 2580.89ms, mfu 24.89%
iter 2670: loss 3.5877, time 2720.82ms, mfu 24.81%
iter 2680: loss 3.7252, time 2578.85ms, mfu 24.87%
iter 2690: loss 3.5186, time 2592.49ms, mfu 24.92%
iter 2700: loss 3.7027, time 2627.62ms, mfu 24.92%
iter 2710: loss 3.3183, time 2579.94ms, mfu 24.98%
iter 2720: loss 3.3983, time 2615.45ms, mfu 24.99%
